Participant,Contrast,Word,Similarity,Time,Score
R_2PojWn7NLuGJQf1,NC,Poep,MS,P,1
R_2PojWn7NLuGJQf1,NC,Poep,MS,R,0
R_2PojWn7NLuGJQf1,NC,Zout,HS,P,0
R_2PojWn7NLuGJQf1,NC,Zout,HS,R,0
R_2PojWn7NLuGJQf1,NC,Schop,HS,P,0
R_2PojWn7NLuGJQf1,NC,Schop,HS,R,0
R_2PojWn7NLuGJQf1,NC,Verwijderen,HS,P,0
R_2PojWn7NLuGJQf1,NC,Verwijderen,HS,R,0
R_2PojWn7NLuGJQf1,NC,Slaan,HS,P,0
R_2PojWn7NLuGJQf1,NC,Slaan,HS,R,0
R_2PojWn7NLuGJQf1,NC,Rijstcake,HS,P,0
R_2PojWn7NLuGJQf1,NC,Rijstcake,HS,R,0
R_2PojWn7NLuGJQf1,NC,Kin,HS,P,1
R_2PojWn7NLuGJQf1,NC,Kin,HS,R,1
R_2PojWn7NLuGJQf1,NC,Uitzetten,HS,P,0
R_2PojWn7NLuGJQf1,NC,Uitzetten,HS,R,0
R_2PojWn7NLuGJQf1,NC,Groot,HS,P,0
R_2PojWn7NLuGJQf1,NC,Groot,HS,R,0
R_2z6kvJIuUZCiHQ9,NC,Studeren,NS,P,1
R_2z6kvJIuUZCiHQ9,NC,Studeren,NS,R,0
R_2z6kvJIuUZCiHQ9,NC,Stoel,NS,P,1
R_2z6kvJIuUZCiHQ9,NC,Stoel,NS,R,0
R_2z6kvJIuUZCiHQ9,NC,Varken,NS,P,0
R_2z6kvJIuUZCiHQ9,NC,Varken,NS,R,0
R_2z6kvJIuUZCiHQ9,NC,Eten,NS,P,0
R_2z6kvJIuUZCiHQ9,NC,Eten,NS,R,0
R_2z6kvJIuUZCiHQ9,NC,Fruit,NS,P,0
R_2z6kvJIuUZCiHQ9,NC,Fruit,NS,R,0
R_2z6kvJIuUZCiHQ9,NC,Stad,NS,P,1
R_2z6kvJIuUZCiHQ9,NC,Stad,NS,R,1
R_2z6kvJIuUZCiHQ9,NC,Cafe,NS,P,1
R_2z6kvJIuUZCiHQ9,NC,Cafe,NS,R,1
R_2z6kvJIuUZCiHQ9,NC,Zomer,NS,P,1
R_2z6kvJIuUZCiHQ9,NC,Zomer,NS,R,0
R_2z6kvJIuUZCiHQ9,NC,Kopen,MS,P,1
R_2z6kvJIuUZCiHQ9,NC,Kopen,MS,R,0
R_2z6kvJIuUZCiHQ9,NC,Goedkoop,MS,P,0
R_2z6kvJIuUZCiHQ9,NC,Goedkoop,MS,R,0
R_2z6kvJIuUZCiHQ9,NC,Maand,MS,P,0
R_2z6kvJIuUZCiHQ9,NC,Maand,MS,R,0
R_2z6kvJIuUZCiHQ9,NC,Dochter,MS,P,1
R_2z6kvJIuUZCiHQ9,NC,Dochter,MS,R,0
R_2z6kvJIuUZCiHQ9,NC,Kamer,MS,P,0
R_2z6kvJIuUZCiHQ9,NC,Kamer,MS,R,0
R_2z6kvJIuUZCiHQ9,NC,Brood,MS,P,0
R_2z6kvJIuUZCiHQ9,NC,Brood,MS,R,0
R_2z6kvJIuUZCiHQ9,NC,Oost,MS,P,0
R_2z6kvJIuUZCiHQ9,NC,Oost,MS,R,0
R_2z6kvJIuUZCiHQ9,NC,Poep,MS,P,1
R_2z6kvJIuUZCiHQ9,NC,Poep,MS,R,1
R_2z6kvJIuUZCiHQ9,NC,Zout,HS,P,0
R_2z6kvJIuUZCiHQ9,NC,Zout,HS,R,0
R_2z6kvJIuUZCiHQ9,NC,Schop,HS,P,0
R_2z6kvJIuUZCiHQ9,NC,Schop,HS,R,0
R_2z6kvJIuUZCiHQ9,NC,Verwijderen,HS,P,1
R_2z6kvJIuUZCiHQ9,NC,Verwijderen,HS,R,1
R_2z6kvJIuUZCiHQ9,NC,Slaan,HS,P,0
R_2z6kvJIuUZCiHQ9,NC,Slaan,HS,R,0
R_2z6kvJIuUZCiHQ9,NC,Rijstcake,HS,P,0
R_2z6kvJIuUZCiHQ9,NC,Rijstcake,HS,R,1
R_2z6kvJIuUZCiHQ9,NC,Kin,HS,P,0
R_2z6kvJIuUZCiHQ9,NC,Kin,HS,R,0
R_2z6kvJIuUZCiHQ9,NC,Uitzetten,HS,P,1
R_2z6kvJIuUZCiHQ9,NC,Uitzetten,HS,R,0
R_2z6kvJIuUZCiHQ9,NC,Groot,HS,P,0
R_2z6kvJIuUZCiHQ9,NC,Groot,HS,R,0
R_2QKZcaMhfbSdsX4,C,Studeren,NS,P,0
R_2QKZcaMhfbSdsX4,C,Studeren,NS,R,0
R_2QKZcaMhfbSdsX4,C,Stoel,NS,P,0
